event,parameter,station,date,min,max,mean,median,total,station_name
Matthew,atemp,niwolmet,2016-10-05,67.46,74.66,70.726052631579,70.25,NA,Oyster Landing (OL)
Matthew,atemp,niwolmet,2016-10-06,65.3,72.68,69.71,70.16,NA,Oyster Landing (OL)
Matthew,atemp,niwolmet,2016-10-07,70.52,79.88,75.175625,76.1,NA,Oyster Landing (OL)
Matthew,atemp,niwolmet,2016-10-08,71.06,78.8,76.090625,76.82,NA,Oyster Landing (OL)
Matthew,atemp,niwolmet,2016-10-09,64.04,74.48,69.573125,69.44,NA,Oyster Landing (OL)
Matthew,atemp,niwolmet,2016-10-10,56.3,69.08,62.1875,61.16,NA,Oyster Landing (OL)
Matthew,atemp,niwolmet,2016-10-11,59.36,62.78,60.5776470588235,60.26,NA,Oyster Landing (OL)
Matthew,bp,niwolmet,2016-10-05,29.9728325064966,30.0614221592251,30.0163502306439,30.0023623907394,NA,Oyster Landing (OL)
Matthew,bp,niwolmet,2016-10-06,30.0023623907394,30.0614221592251,30.0328150838649,30.0318922749823,NA,Oyster Landing (OL)
Matthew,bp,niwolmet,2016-10-07,29.7365934325537,30.0023623907394,29.8990077958894,29.9137727380109,NA,Oyster Landing (OL)
Matthew,bp,niwolmet,2016-10-08,28.673517599811,29.7365934325537,29.3413236278447,29.3822348216395,NA,Oyster Landing (OL)
Matthew,bp,niwolmet,2016-10-09,29.5889440113395,30.0614221592251,29.8891645011418,29.9580675643751,NA,Oyster Landing (OL)
Matthew,bp,niwolmet,2016-10-10,30.0614221592251,30.2681313489251,30.1909230057485,30.2090715804394,NA,Oyster Landing (OL)
Matthew,bp,niwolmet,2016-10-11,30.2386014646823,30.297661233168,30.2768166089965,30.2681313489251,NA,Oyster Landing (OL)
Matthew,intensprcp,niwolmet,2016-10-05,0,0,0,0,NA,Oyster Landing (OL)
Matthew,intensprcp,niwolmet,2016-10-06,0,0,0,0,NA,Oyster Landing (OL)
Matthew,intensprcp,niwolmet,2016-10-07,0,1.00787401574803,0.0264107611548556,0,NA,Oyster Landing (OL)
Matthew,intensprcp,niwolmet,2016-10-08,0,1.03937007874016,0.211286089238845,0.125984251968504,NA,Oyster Landing (OL)
Matthew,intensprcp,niwolmet,2016-10-09,0,0,0,0,NA,Oyster Landing (OL)
Matthew,intensprcp,niwolmet,2016-10-10,0,0,0,0,NA,Oyster Landing (OL)
Matthew,intensprcp,niwolmet,2016-10-11,0,0,0,0,NA,Oyster Landing (OL)
