event,parameter,station,date,min,max,mean,median,station_name
Matthew,cdepth,niwcbwq,2016-10-05,4.4947508,9.02231,6.83882464210526,6.725722,Clambank (CB)
Matthew,cdepth,niwcbwq,2016-10-06,5.249344,9.0551184,7.12523262083333,7.1686354,Clambank (CB)
Matthew,cdepth,niwcbwq,2016-10-07,5.6758532,9.350394,7.41025559583333,7.38189,Clambank (CB)
Matthew,cdepth,niwcbwq,2016-10-08,3.7401576,11.811024,8.80939715416667,9.0551184,Clambank (CB)
Matthew,cdepth,niwcbwq,2016-10-09,2.7230972,7.4146984,5.04565851666667,5.0524936,Clambank (CB)
Matthew,cdepth,niwcbwq,2016-10-10,3.8713912,8.5629924,6.34808364583333,6.4468506,Clambank (CB)
Matthew,cdepth,niwcbwq,2016-10-11,4.7900264,6.397638,5.33618976470588,5.1837272,Clambank (CB)
Matthew,cdepth,niwdcwq,2016-10-05,7.6115488,11.48294,9.37888550526316,9.2847772,Debidue Creek (DC)
Matthew,cdepth,niwdcwq,2016-10-06,7.7427824,11.5813652,9.61456997083333,9.6292654,Debidue Creek (DC)
Matthew,cdepth,niwdcwq,2016-10-07,8.1364832,11.8766408,9.86986033333333,9.8261158,Debidue Creek (DC)
Matthew,cdepth,niwdcwq,2016-10-08,7.6443572,15.1902892,11.5492403083333,11.6961946,Debidue Creek (DC)
Matthew,cdepth,niwdcwq,2016-10-09,6.3320212,10.7283468,8.4799461375,8.530184,Debidue Creek (DC)
Matthew,cdepth,niwdcwq,2016-10-10,7.3490816,11.9094492,9.70957762916667,9.7933074,Debidue Creek (DC)
Matthew,cdepth,niwdcwq,2016-10-11,8.1692916,9.9409452,8.82159978823529,8.5958008,Debidue Creek (DC)
Matthew,cdepth,niwolwq,2016-10-05,5.1837272,9.0551184,6.992126208,6.9553808,Oyster Landing (OL)
Matthew,cdepth,niwolwq,2016-10-06,5.2821524,9.1535436,7.24689710416667,7.3162732,Oyster Landing (OL)
Matthew,cdepth,niwolwq,2016-10-07,5.7086616,9.4488192,7.48817554583333,7.463911,Oyster Landing (OL)
Matthew,cdepth,niwolwq,2016-10-08,5.0524936,12.7624676,9.25333581666667,9.3832024,Oyster Landing (OL)
Matthew,cdepth,niwolwq,2016-10-09,3.6745408,8.3005252,5.99231755833333,6.0367456,Oyster Landing (OL)
Matthew,cdepth,niwolwq,2016-10-10,4.7900264,9.4816276,7.26159253333333,7.299869,Oyster Landing (OL)
Matthew,cdepth,niwolwq,2016-10-11,5.6758532,7.6115488,6.42079687058824,6.233596,Oyster Landing (OL)
Matthew,cdepth,niwtawq,2016-10-05,7.8083992,10.9251972,9.26794131052632,9.2027562,Thousand Acre (TA)
Matthew,cdepth,niwtawq,2016-10-06,7.9068244,10.9580056,9.49939881666667,9.596457,Thousand Acre (TA)
Matthew,cdepth,niwtawq,2016-10-07,8.1036748,11.1876644,9.7451200625,9.7933074,Thousand Acre (TA)
Matthew,cdepth,niwtawq,2016-10-08,8.7270344,13.7467196,11.3882740958333,11.564961,Thousand Acre (TA)
Matthew,cdepth,niwtawq,2016-10-09,7.3490816,10.7283468,8.835712225,8.6286092,Thousand Acre (TA)
Matthew,cdepth,niwtawq,2016-10-10,7.874016,11.48294,9.7676758375,9.9081368,Thousand Acre (TA)
Matthew,cdepth,niwtawq,2016-10-11,8.5629924,10.0393704,9.05318849411765,8.8910764,Thousand Acre (TA)
Matthew,cdepth,niwwbwq,2016-10-05,15.6167984,18.7664048,17.0927447105263,17.0275596,Winyah Bay Bottom (WB)
Matthew,cdepth,niwwbwq,2016-10-06,15.7152236,18.7992132,17.2852422416667,17.388452,Winyah Bay Bottom (WB)
Matthew,cdepth,niwwbwq,2016-10-07,15.912074,19.1272972,17.5367733083333,17.6509192,Winyah Bay Bottom (WB)
Matthew,cdepth,niwwbwq,2016-10-08,16.5026252,21.5879272,19.2763020166667,19.3897644,Winyah Bay Bottom (WB)
Matthew,cdepth,niwwbwq,2016-10-09,15.2230976,18.6351712,16.6803373666667,16.5190294,Winyah Bay Bottom (WB)
Matthew,cdepth,niwwbwq,2016-10-10,15.7152236,19.4553812,17.6519444625,17.7657486,Winyah Bay Bottom (WB)
Matthew,cdepth,niwwbwq,2016-10-11,16.4698168,17.9790032,16.9908913882353,16.8307092,Winyah Bay Bottom (WB)
Matthew,cdepth,niwwswq,2016-10-05,2.2637796,5.4461944,3.77728289473684,3.7237534,Winyah Bay Surface (WS)
Matthew,cdepth,niwwswq,2016-10-06,2.3950132,5.5118112,3.99408094583333,4.0846458,Winyah Bay Surface (WS)
Matthew,cdepth,niwwswq,2016-10-07,2.5262468,5.8070868,4.2435614875,4.347113,Winyah Bay Surface (WS)
Matthew,cdepth,niwwswq,2016-10-08,3.1824148,8.2021,5.96121792916667,6.069554,Winyah Bay Surface (WS)
Matthew,cdepth,niwwswq,2016-10-09,1.9028872,5.2821524,3.3536336375,3.198819,Winyah Bay Surface (WS)
Matthew,cdepth,niwwswq,2016-10-10,2.3622048,6.2007876,4.3307088,4.4127298,Winyah Bay Surface (WS)
Matthew,cdepth,niwwswq,2016-10-11,3.116798,4.6916012,3.64945202352941,3.5104988,Winyah Bay Surface (WS)
Matthew,chlfluor,niwolwq,2016-10-05,5.5,21.9,9.584,9,Oyster Landing (OL)
Matthew,chlfluor,niwolwq,2016-10-06,5.2,14.5,8.95416666666667,9,Oyster Landing (OL)
Matthew,chlfluor,niwolwq,2016-10-07,5.5,12.7,8.93541666666667,8.95,Oyster Landing (OL)
Matthew,chlfluor,niwolwq,2016-10-08,8.2,17.5,10.9666666666667,10.5,Oyster Landing (OL)
Matthew,chlfluor,niwolwq,2016-10-09,7.3,22.9,15.3270833333333,15.85,Oyster Landing (OL)
Matthew,chlfluor,niwolwq,2016-10-10,7.6,16.8,10.8885416666667,10.3,Oyster Landing (OL)
Matthew,chlfluor,niwolwq,2016-10-11,7.8,11.1,9.4,9.3,Oyster Landing (OL)
Matthew,chlfluor,niwwswq,2016-10-05,7.6,13.9,9.17631578947368,9.1,Winyah Bay Surface (WS)
