event,reserve_code,station,station_name,parameter,min,max,mean,median
Matthew,niw,niwcbwq,Clambank (CB),cdepth,2.7230972,11.811024,6.88546970680628,6.8241472
Matthew,niw,niwdcwq,Debidue Creek (DC),cdepth,6.3320212,15.1902892,9.75251161465969,9.6128612
Matthew,niw,niwolwq,Oyster Landing (OL),cdepth,3.6745408,12.7624676,7.3580867027972,7.2506564
Matthew,niw,niwtawq,Thousand Acre (TA),cdepth,7.3490816,13.7467196,9.74684314764398,9.6456696
Matthew,niw,niwwswq,Winyah Bay Surface (WS),cdepth,1.9028872,8.2021,4.27557007539267,4.1666668
Matthew,niw,niwwbwq,Winyah Bay Bottom (WB),cdepth,15.2230976,21.5879272,17.5867910883072,17.4868772
Matthew,niw,niwolwq,Oyster Landing (OL),chlfluor,5.2,22.9,10.7788461538462,10.1
Matthew,niw,niwwswq,Winyah Bay Surface (WS),chlfluor,6.1,13.9,7.74816753926702,7.4
Matthew,niw,niwcbwq,Clambank (CB),depth,2.46063,10.498688,6.87104088167539,6.889764
Matthew,niw,niwdcwq,Debidue Creek (DC),depth,6.069554,13.779528,9.7380827895288,9.7112864
Matthew,niw,niwolwq,Oyster Landing (OL),depth,3.4120736,11.3845148,7.34340322307692,7.3162732
Matthew,niw,niwtawq,Thousand Acre (TA),depth,7.4475068,12.3687668,9.73241432251309,9.7440948
Matthew,niw,niwwswq,Winyah Bay Surface (WS),depth,1.968504,6.889764,4.26114125026178,4.265092
Matthew,niw,niwwbwq,Winyah Bay Bottom (WB),depth,15.2887144,20.2755912,17.5723622631763,17.552494
Matthew,niw,niwcbwq,Clambank (CB),do_mgl,3.8,7.4,5.79476439790576,5.9
Matthew,niw,niwdcwq,Debidue Creek (DC),do_mgl,3.9,7.3,5.7043630017452,5.9
Matthew,niw,niwolwq,Oyster Landing (OL),do_mgl,3.4,7,5.35909090909091,5.5
Matthew,niw,niwtawq,Thousand Acre (TA),do_mgl,2.8,7.2,5.33280977312391,5.6
Matthew,niw,niwwswq,Winyah Bay Surface (WS),do_mgl,4.1,7.4,5.92705061082024,6.1
Matthew,niw,niwwbwq,Winyah Bay Bottom (WB),do_mgl,4.1,6.9,5.70157068062827,5.8
Matthew,niw,niwcbwq,Clambank (CB),do_pct,53.5,103.4,81.7015706806283,84.6
Matthew,niw,niwdcwq,Debidue Creek (DC),do_pct,50.4,101.2,78.0094240837696,80.9
Matthew,niw,niwolwq,Oyster Landing (OL),do_pct,48.1,96.8,74.5265734265734,78
Matthew,niw,niwtawq,Thousand Acre (TA),do_pct,31.8,92.1,65.360907504363,66.8
Matthew,niw,niwwswq,Winyah Bay Surface (WS),do_pct,47,94.1,72.9111692844677,74.4
Matthew,niw,niwwbwq,Winyah Bay Bottom (WB),do_pct,46.7,92.1,72.6879581151832,75.2
Matthew,niw,niwcbwq,Clambank (CB),ph,7,7.9,7.52094240837696,7.6
Matthew,niw,niwdcwq,Debidue Creek (DC),ph,7,8,7.65497382198953,7.7
Matthew,niw,niwolwq,Oyster Landing (OL),ph,6.6,7.8,7.4229020979021,7.5
Matthew,niw,niwtawq,Thousand Acre (TA),ph,5.8,7.5,6.64904013961606,6.6
